qid,question_text,target
0000e91571b60c2fb487,Has the United States become the largest dictatorship in the world?,1
00013ceca3f624b09f42,Which babies are more sweeter to their parents? Dark skin babies or light skin babies?,1
0004a7fcb2bf73076489,If blacks support school choice and mandatory sentencing for criminals why don't they vote Republican?,1
00052793eaa287aff1e1,"I am gay boy and I love my cousin (boy). He is sexy, but I dont know what to do. He is hot, and I want to see his di**. What should I do?",1
000537213b01fd77b58a,Which races have the smallest penis?,1
00056d45a1ce63856fc6,Why do females find penises ugly?,1
0005de07b07a17046e27,How do I marry an American woman for a Green Card? How much do they charge?,1
00068875d7c82a5bcf88,"Why do Europeans say they're the superior race, when in fact it took them over 2,000 years until mid 19th century to surpass China's largest economy?",1
0006ffd99a6599ff35b3,Did Julius Caesar bring a tyrannosaurus rex on his campaigns to frighten the Celts into submission?,1
00075f7061837807c69f,In what manner has Republican backing of 'states rights' been hypocritical and what ways have they actually restricted the ability of states to make their own laws?,1
00076debbd82860ca33a,"Would Europeans continue to participate in the Arab war for the destruction of Israel and killing all the Jews, if they knew that god himself defends Israel and he will do to Europeans what the Arabs want to do to the Jews?",1
000983f5b226cca636f4,"Why are Americans, British, Canadians, Australians and New Zealanders considered to be separate nations even when they all speak the same language?",1
0009fcb845bb24de91f4,"If both Honey Singh and Justin Bieber fall from the 5th floor, who will survive?",1
000a898565e80fe124bf,Why are liberal minorities so voilent towards poeple with diffrent poltical beleifs? Should supporting trump be a sentence to be imprisoned or savegely attacked?,1
000b1f4cbc5c238a765d,Can we all now admit that President Trump doesn't really want Congress to pass legislation replacing DACA to protect dreamers?,1
000c44fe9b2822b25d77,"The American economy is growing under Trump’s presidency, why do people still hate Trump as a president?",1
000d9de4df8d6a31c248,"Why don't poor countries print more money to use for paying for education, etc.?",1
000db4d0223af5dd9c5d,Why do all the people who claim Florida has great weather go silent every time there's a new hurricane?,1
000db9603d16a6d9bb2e,Could the leader of Iran be dead many years ago and the leader of today's Iran is actually a fake leader?,1
000e67648fce55f011be,Why do the Liberals who run schools choose not to have controlled access? The kids in Florida were killed due to an unlocked door.,1
